DATAFLOW,LAST UPDATE,freq,month,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AL,2014,904.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AL,2015,932.00,e
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AL,2016,940.81,p
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AL,2017,933.12,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AL,2018,917.16,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AL,2019,862.87,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AL,2020,774.33,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,1991,41.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,1992,39.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,1993,47.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,1994,49.75,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,1995,54.23,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,1996,54.47,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,1997,58.34,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,1998,54.24,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,1999,58.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,2000,56.11,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,2001,57.99,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,2002,57.84,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,2003,54.61,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,2004,55.52,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,2005,55.10,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M12,A4200,THS_HD,AT,2006,53.11,
