DATAFLOW,LAST UPDATE,freq,animals,month,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,1993,2350.54,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,1994,2337.23,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,1995,2317.90,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,1996,2319.65,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,1997,2238.19,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,1998,2187.24,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,1999,2169.68,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2000,2156.79,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2001,2162.98,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2002,2094.16,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2003,2052.84,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2004,2046.55,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2005,2008.41,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2006,2002.14,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2007,1998.13,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2008,1990.68,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2009,2012.76,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2010,2019.12,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2011,1981.57,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2012,1957.39,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2013,1939.41,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2014,1936.93,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2015,1949.93,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2016,1932.53,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2017,1938.48,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2018,1906.82,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2019,1873.31,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2020,1844.34,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,AT,2021,1846.42,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1974,3047.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1975,2999.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1976,2979.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1977,2987.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1978,2999.79,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1979,3058.44,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1980,3053.55,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1981,3014.05,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1982,3024.60,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1983,3086.03,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1984,3122.53,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1985,3093.20,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1986,3060.08,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1987,3079.14,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1988,3070.62,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1989,3126.84,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1990,3248.78,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1991,3264.16,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1992,3222.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1993,3231.07,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1994,3251.96,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1995,3286.18,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1996,3242.60,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1997,3157.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1998,3089.91,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,1999,3085.17,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2000,3041.57,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2001,3038.74,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2002,2891.26,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2003,2778.08,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2004,2746.03,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2005,2694.66,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2006,2663.08,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2007,2649.39,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2008,2605.53,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2009,2600.45,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2010,2592.63,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2011,2560.32,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2012,2484.27,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2013,2432.53,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2014,2520.77,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2015,2531.08,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2016,2554.76,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2017,2454.10,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2018,2449.74,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2019,2406.17,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2020,2387.91,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BE,2021,2353.42,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1987,1715.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1988,1676.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1989,1620.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1990,1564.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1991,1459.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1992,1224.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1993,930.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1994,676.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1995,666.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1996,682.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1997,623.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1998,688.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,1999,687.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,2001,694.80,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,2002,667.20,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,2003,676.80,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,2004,701.00,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,BG,2006,641.28,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,CH,2015,1563.30,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,CH,2016,1553.15,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,CH,2017,1553.15,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,CH,2018,1528.92,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,CH,2019,1528.52,
ESTAT:APRO_MT_LSCATL(1.0),27/06/22 23:00:00,A,A2000,M05_M06,THS_HD,CH,2020,1518.79,p
