DATAFLOW,LAST UPDATE,freq,month,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BE,2002,25.02,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BE,2003,26.24,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BE,2006,27.99,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BE,2007,28.87,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BE,2008,30.87,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BE,2009,31.67,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BE,2010,32.02,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BG,2001,853.10,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BG,2002,1009.50,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BG,2003,1059.90,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BG,2004,1068.80,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BG,2006,880.42,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,BG,2008,730.31,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,HU,2002,101.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,IE,2000,8.10,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,IE,2001,7.80,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,IE,2002,7.70,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,IE,2003,7.60,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,IE,2004,7.50,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,IE,2005,7.30,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,IE,2006,6.70,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,IE,2007,7.30,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,IE,2008,8.90,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,IE,2009,0.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,IE,2010,0.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,LT,2003,43.20,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,LU,2004,2.01,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,LU,2005,2.20,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,LU,2006,1.95,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,LU,2007,2.66,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,LV,2002,14.80,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,LV,2003,16.90,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,LV,2004,14.70,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,NL,2009,410.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,PL,1996,179.32,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,PL,1998,185.50,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,PL,1999,181.05,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,PL,2000,176.47,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,PL,2001,171.97,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,PL,2002,193.36,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,PL,2003,192.47,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,PL,2004,175.76,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,PL,2005,138.04,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,PL,2006,130.37,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,PL,2007,143.93,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,SE,2003,5.51,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,SE,2004,6.00,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,SI,2000,22.04,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,SI,2003,28.69,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,UK,1999,77.16,
ESTAT:APRO_MT_LSGOAT(1.0),27/06/22 23:00:00,A,M05_M06,A4200,THS_HD,UK,2000,76.22,
