DATAFLOW,LAST UPDATE,freq,animals,month,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,AT,1994,3680.8,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,AT,1995,3684.2,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,AT,1996,3519.8,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,AT,1997,3623.8,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,AT,1998,3749.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,AT,1999,3512.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BE,1969,0.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BE,1970,0.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BE,1971,0.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BE,1972,0.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BE,1973,4653.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BE,1974,5285.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BE,1975,4803.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BE,1976,4979.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BE,1977,4987.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,BE,1978,5119.0,
