DATAFLOW,LAST UPDATE,freq,month,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BE,2002,146.43,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BE,2003,146.03,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BE,2006,153.98,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BE,2007,150.53,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BE,2008,132.41,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BE,2009,126.22,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BE,2010,120.46,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BG,2001,1796.10,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BG,2002,1947.40,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BG,2003,2074.60,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BG,2004,2028.10,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BG,2006,1945.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,BG,2008,1784.38,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,1999,2723.66,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,2000,2743.30,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,2001,2771.15,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,2002,2721.53,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,2003,2696.98,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,2004,2713.49,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,2005,2642.39,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,2006,2560.27,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,2007,2537.79,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,2008,2436.98,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,2009,2350.42,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,DE,2010,2088.54,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M05_M06,A4100,THS_HD,HU,2002,1147.00,
