DATAFLOW,LAST UPDATE,freq,month,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AL,2014,1896.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AL,2015,1918.00,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AL,2016,1971.93,p
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AL,2017,1925.51,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AL,2018,1863.84,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AL,2019,1758.33,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AL,2020,1557.86,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,1991,326.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,1992,312.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,1993,334.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,1994,342.14,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,1995,365.25,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,1996,380.86,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,1997,383.66,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,1998,360.81,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,1999,352.28,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2000,339.24,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2001,320.47,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2002,304.36,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2003,325.50,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2004,327.16,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2005,325.73,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2006,312.38,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2007,351.33,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2008,333.18,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2009,344.71,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2010,358.42,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2011,361.18,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2012,364.65,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2013,357.44,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2014,349.09,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2015,353.71,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2016,378.38,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2017,401.48,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2018,406.34,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2019,402.66,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2020,393.76,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,AT,2021,402.35,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BA,2010,1046.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BA,2011,1021.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BA,2012,1004.00,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BA,2013,1020.00,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BA,2014,1025.00,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BA,2015,1020.00,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BA,2016,1016.00,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BA,2017,1017.00,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BA,2018,1012.00,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BA,2019,1013.00,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BA,2020,1014.00,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1963,58.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1964,64.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1965,67.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1966,68.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1967,65.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1968,84.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1969,85.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1970,66.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1971,66.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1972,69.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1973,74.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1974,81.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1975,83.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1976,82.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1977,84.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1978,91.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1979,84.10,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1980,86.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1981,79.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1982,83.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1983,97.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1984,109.14,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1985,124.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1986,127.99,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1987,133.09,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1988,128.97,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1989,131.60,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1990,136.43,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1991,129.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1992,128.10,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1993,127.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1994,119.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1995,118.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1996,113.11,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1997,114.52,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1998,116.23,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,1999,119.32,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,2000,160.45,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,2001,153.13,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,2002,146.43,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,2012,119.26,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,2013,0.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,2015,117.32,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,2016,86.23,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BE,2019,117.32,e
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1987,8886.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1988,8609.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1989,8130.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1990,7938.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1991,6703.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1992,4814.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1993,3763.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1994,3398.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1995,3383.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1996,3020.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1997,2848.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1998,2774.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,1999,2526.00,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,2000,1709.70,
ESTAT:APRO_MT_LSSHEEP(1.0),27/06/22 23:00:00,A,M12,A4100,THS_HD,BG,2001,1571.40,
